"50","1A","Uang Saku","Pembina (IV/a)","80000",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"51","1A","Transport","Pembina (IV/a)","0",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"52","1A","Penginapan","Pembina (IV/a)","0",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"63","1A","Penginapan","Penata Tk. I (III/d)","0",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"68","1A","Transport","Penata Muda (III/a)","0",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"69","1A","Penginapan","Penata Muda (III/a)","0",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"79","1A","Uang Saku","Pengatur Tk. I (II/d)","250000",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"80","1A","Transport","Pengatur Tk. I (II/d)","0",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"81","1A","Penginapan","Pengatur Tk. I (II/d)","0",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"98","4A","Uang Saku","Pembina Tk. I (IV/c)","700000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"99","4A","Transport","Pembina Tk. I (IV/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"100","4A","Penginapan","Pembina Tk. I (IV/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"101","4A","Uang Saku","Pembina Tk. I (IV/b)","650000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"102","4A","Transport","Pembina Tk. I (IV/b)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"103","4A","Penginapan","Pembina Tk. I (IV/b)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"104","4A","Uang Saku","Pembina (IV/a)","600000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"105","4A","Transport","Pembina (IV/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"106","4A","Penginapan","Pembina (IV/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"107","4A","Uang Saku","Penata Tk. I (III/d)","550000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"108","4A","Transport","Penata Tk. I (III/d)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"109","4A","Penginapan","Penata Tk. I (III/d)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"110","4A","Uang Saku","Penata (III/c)","550000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"111","4A","Transport","Penata (III/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"112","4A","Penginapan","Penata (III/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"113","4A","Uang Saku","Penata Muda Tk. I (III/b)","525000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"114","4A","Transport","Penata Muda Tk. I (III/b)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"115","4A","Penginapan","Penata Muda Tk. I (III/b)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"116","4A","Uang Saku","Penata Muda (III/a)","525000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"117","4A","Transport","Penata Muda (III/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"118","4A","Penginapan","Penata Muda (III/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"119","4A","Uang Saku","Pengatur Tk. I (II/d)","500000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"120","4A","Transport","Pengatur Tk. I (II/d)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"121","4A","Penginapan","Pengatur Tk. I (II/d)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"122","4A","Uang Saku","Pengatur (II/c)","500000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"123","4A","Transport","Pengatur (II/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"124","4A","Penginapan","Pengatur (II/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
