"265","6","102","Ketua DPRD"
"271","8","102","Ketua DPRD"
"274","9","102","Ketua DPRD"
"277","21","102","Ketua DPRD"
"280","22","102","Ketua DPRD"
"301","3","102","Ketua DPRD"
"365","4","102","Ketua DPRD"
"382","7","102","Ketua DPRD"
"50","21","179","SEKRETARIS"
"118","21","293","SEKRETARIS"
"163","5","241","SEKRETARIS"
"174","6","130","SEKRETARIS"
"306","3","231","SEKRETARIS"
"370","4","240","SEKRETARIS"
"406","7","293","SEKRETARIS"
"380","4","281","STAFF"
"381","4","264","STAFF"
"407","7","257","STAFF"
"408","7","27","STAFF"
"52","8","121","WAKIL KETUA"
"56","9","229","WAKIL KETUA"
"120","8","121","WAKIL KETUA"
"124","9","229","WAKIL KETUA"
"162","5","247","WAKIL KETUA"
"173","6","255","WAKIL KETUA"
"305","3","245","WAKIL KETUA"
"369","4","232","WAKIL KETUA"
"263","5","109","Wakil Ketua DPRD"
"264","5","116","Wakil Ketua DPRD"
"266","6","109","Wakil Ketua DPRD"
"267","6","116","Wakil Ketua DPRD"
"272","8","109","Wakil Ketua DPRD"
"273","8","116","Wakil Ketua DPRD"
"275","9","109","Wakil Ketua DPRD"
"276","9","116","Wakil Ketua DPRD"
"278","21","109","Wakil Ketua DPRD"
"279","21","116","Wakil Ketua DPRD"
"281","22","109","Wakil Ketua DPRD"
"282","22","116","Wakil Ketua DPRD"
"302","3","109","Wakil Ketua DPRD"
"303","3","116","Wakil Ketua DPRD"
"366","4","116","Wakil Ketua DPRD"
"367","4","109","Wakil Ketua DPRD"
"383","7","116","Wakil Ketua DPRD"
"384","7","109","Wakil Ketua DPRD"
